Abbreviation	ACALD_ko	ACKr_ko	AKGDH_ko	ALCD2x_ko	ATPS4r_ko	FBA_ko	FBP_ko	FRD7_ko	FUM_ko	G6PDH2r_ko	GLUDy_ko	GLUN_ko	GLUSy_ko	GND_ko	ICL_ko	LDH_D_ko	MALS_ko	MDH_ko	ME1_ko	ME2_ko	NADTRHD_ko	PDH_ko	PFK_ko	PFL_ko	PGI_ko	PGL_ko	PPC_ko	PPCK_ko	PPS_ko	PTAr_ko	PYK_ko	RPE_ko	SUCDi_ko	SUCOAS_ko	TALA_ko	THD2_ko	TPI_ko
ATPM	8.39	8.39	8.39	8.39	8.39	21.11348723581004	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	21.11348723581004	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	8.39	21.11348723581011
ATPS4r	45.51400977451722	45.51400977451736	47.4281644223023	45.51400977451758	0.0	63.78805319703173	45.51400977451764	45.51400977451764	56.181791613837284	41.35354605121216	47.74394391135164	45.51400977451757	45.51400977451764	41.35354605121216	45.51400977451764	45.514009774517646	45.51400977451764	49.26773551053274	45.51400977451764	45.514009774517426	45.51400977451722	43.67177423054562	63.78805319703173	45.51400977451757	47.84702679234281	41.35354605121216	46.20266690801873	45.51400977451757	45.51400977451764	45.514009774517454	46.05094655601868	42.13649948420292	56.18179161383685	47.4281644223023	41.74284940491796	45.51400977451764	63.78805319703175
BIOMASS_Ecoli_core_w_GAM	0.8739215069684272	0.873921506968429	0.8583074080226853	0.873921506968433	0.3742298749331099	0.7040369478590255	0.8739215069684331	0.8739215069684331	0.8142975075325323	0.8638133095039918	0.851388523346209	0.8739215069684322	0.8739215069684331	0.8638133095039918	0.8739215069684331	0.8739215069684337	0.8739215069684331	0.825819290596987	0.8739215069684331	0.8739215069684302	0.8739215069684272	0.7966959254309584	0.7040369478590255	0.8739215069684322	0.8631595522084177	0.8638133095039918	0.8707448062160249	0.8739215069684322	0.8739215069684331	0.87392150696843	0.8649260179498711	0.8657155608953028	0.8142975075325298	0.8583074080226853	0.8647591548314739	0.8739215069684331	0.7040369478590238
CO2t	-22.80983331020483	-22.80983331020492	-23.47429909789066	-22.809833310205033	0.6686365175429865	-26.64118052915416	-22.80983331020508	-22.80983331020508	-25.347162418199524	-23.239992707402294	-23.76873569474045	-22.809833310205047	-22.80983331020508	-23.239992707402294	-22.80983331020508	-22.809833310205068	-22.80983331020508	-24.85684717899989	-22.80983331020508	-22.80983331020496	-22.80983331020483	-18.353086762884672	-26.64118052915416	-22.809833310205047	-23.26781367599466	-23.239992707402294	-22.94501939907395	-22.809833310205047	-22.80983331020508	-22.809833310204958	-23.19264084313427	-23.15904144831993	-25.347162418199357	-23.47429909789066	-23.199741786569057	-22.80983331020508	-26.64118052915416
CS	6.007249575350238	6.007249575350319	5.83680762208861	6.007249575350372	0.4037566120653316	0.759585463045101	6.007249575350406	6.007249575350406	0.8785455808768475	7.803301595127241	6.471170359316134	6.00724957535038	6.007249575350406	7.803301595127241	6.007249575350406	6.007249575350397	6.007249575350406	8.339761944485685	6.007249575350406	6.007249575350322	6.007249575350238	4.757262793108051	0.759585463045101	6.00724957535038	4.538181622705586	7.803301595127241	5.573611878986713	6.00724957535038	6.007249575350406	6.007249575350331	6.663499764580392	7.465304393796906	0.878545580876845	5.83680762208861	7.635241224642114	6.007249575350406	0.7595854630450991
CYTBD	43.59898531199727	43.59898531199743	44.96401980695125	43.598985311997644	13.91599523126241	55.05266196369983	43.59898531199775	43.59898531199775	48.811506139482326	44.48267628056947	45.56889084579981	43.59898531199767	43.59898531199775	44.48267628056947	43.59898531199775	43.598985311997716	43.59898531199775	47.80423499428146	43.59898531199775	43.5989853119975	43.59898531199727	42.607172989426076	55.05266196369983	43.59898531199767	44.53982983537301	44.48267628056947	43.87670265721521	43.59898531199767	43.59898531199775	43.59898531199751	44.385399747564854	44.31637537673774	48.811506139482006	44.96401980695125	44.39998745533677	43.59898531199775	55.05266196369983
D_LACt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENO	14.716139568742843	14.716139568742797	14.390098435257068	14.716139568742825	18.445336830565385	7.775524859544646	14.716139568742829	14.716139568742829	8.993264532690706	16.411460368327365	14.955512411018093	14.71613956874283	14.716139568742829	16.411460368327365	14.716139568742829	14.716139568742825	14.716139568742829	16.569298921071848	14.716139568742829	14.71613956874283	14.716139568742843	12.69657669880518	7.775524859544646	14.71613956874283	13.139825508328148	16.411460368327365	14.250845096371275	14.71613956874283	14.716139568742829	14.716139568742825	15.282747011256244	16.092419672786857	8.993264532690805	14.390098435257068	16.252825630284192	14.716139568742829	7.775524859544627
ETOHt2r	0.0	0.0	0.0	0.0	-2.8133095852922413e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_ac_e	1.3531126571253726e-13	0.0	0.0	-6.11644770325763e-14	14.312267245829108	0.0	-9.723486478755475e-14	-9.723486478755475e-14	-7.689226884334172e-14	0.0	-1.462741309731876e-14	-5.847717637087275e-14	-9.723486478755475e-14	0.0	-9.723486478755475e-14	-9.659142660094975e-14	-9.723486478755475e-14	0.0	-9.723486478755475e-14	1.903820046249126e-14	1.3531126571253726e-13	0.0	0.0	-5.847717637087275e-14	2.2276663016963484e-14	0.0	1.2421876230174951e-14	-5.847717637087275e-14	-9.723486478755475e-14	0.0	0.0	0.0	4.373817297925752e-14	0.0	0.0	-9.723486478755475e-14	0.0
