	WT	AKGDH_ko	ATPS4r_ko	FBA_ko	FUM_ko	G6PDH2r_ko	GLUDy_ko	MDH_ko	PDH_ko	PGI_ko	PPC_ko	PYK_ko	RPE_ko	TALA_ko
WT	0	0.14424284675263813	1.0153777176169765	0.8099486471713951	0.5899358186696565	0.16563126414469273	0.09390734215893741	0.20919413657692706	0.3069368429154503	0.16379360534536716	0.08855226592770972	0.06403501541601374	0.13703971612674365	0.15159332033996023
AKGDH_ko	0.14424284675263813	0	1.0511911115194963	0.7919928544792841	0.5733378455964856	0.24363487949808088	0.16801303782853463	0.2762394031839474	0.3417938210284008	0.18960704041518103	0.06999872717478751	0.17271727290458125	0.22107034371270473	0.23242409809427508
ATPS4r_ko	1.0153777176169765	1.0511911115194963	0	1.4641492527273083	1.2944927804192352	1.0032809152694557	1.053737750254204	1.0959377248728963	0.9450413017054372	1.0626441146731884	1.027303164256831	1.0271208743347582	1.0034356421734052	1.0032338722814258
FBA_ko	0.8099486471713951	0.7919928544792841	1.4641492527273083	0	0.269649973012519	0.9041518730597913	0.8091602073677101	0.8751640797129191	0.6565743915861958	0.6776014973813141	0.7887578865573752	0.8314928090021259	0.8880720392695455	0.896403763564653
FUM_ko	0.5899358186696565	0.5733378455964856	1.2944927804192352	0.269649973012519	0	0.695295210455871	0.5963578678724579	0.6762017460571439	0.46042506709873265	0.4514120997662393	0.5666932331697269	0.6158298340577552	0.6770490631489674	0.6864740320589108
G6PDH2r_ko	0.16563126414469273	0.24363487949808088	1.0032809152694557	0.9041518730597913	0.695295210455871	0	0.1814562958691501	0.1963305030510608	0.40904454067693463	0.3028757760555415	0.21536899903248657	0.14563827843395244	0.03149885930032338	0.015830039860732056
GLUDy_ko	0.09390734215893741	0.16801303782853463	1.053737750254204	0.8091602073677101	0.5963578678724579	0.1814562958691501	0	0.20342234126981015	0.33763829145720536	0.1926071969470813	0.1311285844240457	0.10279383242788503	0.15750561401172086	0.16949834812988
MDH_ko	0.20919413657692706	0.2762394031839474	1.0959377248728963	0.8751640797129191	0.6762017460571439	0.1963305030510608	0.20342234126981015	0	0.4411324068427245	0.31521731497898114	0.2657973046474974	0.15208353168259192	0.18801046403350807	0.1916049687069718
PDH_ko	0.3069368429154503	0.3417938210284008	0.9450413017054372	0.6565743915861958	0.46042506709873265	0.40904454067693463	0.33763829145720536	0.4411324068427245	0	0.22949308150352968	0.30719384796232263	0.3384918528534778	0.3893880001414503	0.3994066150377217
PGI_ko	0.16379360534536716	0.18960704041518103	1.0626441146731884	0.6776014973813141	0.4514120997662393	0.3028757760555415	0.1926071969470813	0.31521731497898114	0.22949308150352968	0	0.15348158832019834	0.20178751291810423	0.27765980813464564	0.29054513865626574
PPC_ko	0.08855226592770972	0.06999872717478751	1.027303164256831	0.7887578865573752	0.5666932331697269	0.21536899903248657	0.1311285844240457	0.2657973046474974	0.30719384796232263	0.15348158832019834	0	0.13704413920504008	0.1896163585412066	0.20268384894144525
PYK_ko	0.06403501541601374	0.17271727290458125	1.0271208743347582	0.8314928090021259	0.6158298340577552	0.14563827843395244	0.10279383242788503	0.15208353168259192	0.3384918528534778	0.20178751291810423	0.13704413920504008	0	0.1189710233946925	0.13234526017607096
RPE_ko	0.13703971612674365	0.22107034371270473	1.0034356421734052	0.8880720392695455	0.6770490631489674	0.03149885930032338	0.15750561401172086	0.18801046403350807	0.3893880001414503	0.27765980813464564	0.1896163585412066	0.1189710233946925	0	0.01600678850296769
TALA_ko	0.15159332033996023	0.23242409809427508	1.0032338722814258	0.896403763564653	0.6864740320589108	0.015830039860732056	0.16949834812988	0.1916049687069718	0.3994066150377217	0.29054513865626574	0.20268384894144525	0.13234526017607096	0.01600678850296769	0
